SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
SportCompetition{name='Football Championship', venue='Stadium XYZ', date='2023-12-12'}
